Spin_Speed_1	Duration_t1	Spin_Speed_2	Dispense_Speed	Duration_t3	Spin_Speed_3	Jsc	Voc	FF	Pmax	Vmpp	Rseries	Rshunt
1474	14	2324	250	19	3910	25.429	1.1523	0.784	22.973	0.978	4651.703	4540
1515	16	2676	269	6	3552	24.912	1.1458	0.7811	22.298	0.973	4530.888	10.9
1165	23	2063	241	32	2863	25.132	1.1228	0.7614	21.484	0.933	6293.705	9.12
1913	13	2671	222	22	5000	25.68	1.082	0.7335	20.381	0.887	4507.681	4600
1421	8	2021	279	25	3002	24.773	1.086	0.7178	19.312	0.868	6299.714	7.65
1840	5	2401	360	10	3825	24.99	1.063	0.7175	19.06	0.842	4506.654	4330
1476	13	2036	242	25	5000	25.533	1.07	0.7514	20.529	0.881	4928.438	5140
1096	20	2295	247	17	2231	24.83	1.0592	0.731	19.226	0.857	3761.752	3540
2126	21	2903	266	9	5000	25.093	1.1027	0.7718	21.355	0.918	4814.004	4570
1600	18	2444	187	32	4233	24.613	1.1195	0.7264	20.017	0.908	4887.079	4940
1184	29	1946	191	35	4204	24.369	1.0772	0.6713	17.623	0.812	3595.424	3490
1210	18	1933	325	21	2000	23.966	1.1008	0.6978	18.409	0.861	4241.645	4170
1220	15	2546	198	11	2783	23.437	1.0966	0.7084	18.206	0.867	6513.151	6090
1570	5	2329	211	19	4466	24.425	1.1057	0.75	20.256	0.913	4429.528	4480
925	22	2808	268	5	2000	24.617	1.0551	0.6368	16.54	0.787	2415.078	2310
1631	22	2902	281	5	3450	23.938	1.1056	0.7443	19.7	0.907	5740.794	5290
1720	5	2707	260	10	4488	24.05	0.9692	0.6917	16.123	0.757	1738.671	1690
1451	9	2149	256	27	3416	23.916	1.1053	0.7251	19.168	0.891	4417.674	4260